_id,username,posted_document,description,query,this_document_is_gold,this_document_is_gold_reason,_golden
ObjectId(59f97bcde007d239e50a4f84),86H17J,"
Preparing for the GMAT exam takes time and effort, but with a sound study plan, you can get the score you want.
Being a little nervous about taking the GMAT exam is normal. Smart test takers approach the test with a solid plan and execute on that plan. They get the most out of practice tests and resources, understand how they learn, and stay positive throughout the process. Just remind yourself that you have what it takes! Like any important goal, preparation and hard work pay off. 
The following steps will help you plan a course toward your best GMAT. 
Determine When You Plan to Attend a Graduate Business Program. 
Register for the GMAT Exam and Develop a Study Plan.
Establish Your Skills Baseline by Taking a Practice Exam.
Start Studying.
Assess Your Progress and Continue Studying.
Plan for Your Test Day.
","I'm looking for information to help me prepare for the
  GMAT exam.",gmat prep classes,,,
ObjectId(59f97bcde007d239e50a4f85),86H17J,"
The elliptical trainer combines the motion
of stair-stepping with cross-country skiing,
providing a low-impact aerobic workout.
Many elliptical trainers use alternating
push/pull resistance bars to add an upperbody
workout as you stride. The pedals
can also be reversed (backward stride),
which not only works the muscles in a
slightly different manner but allows some
variation in your workout.
There are two main types of elliptical
machines available: rear-drive and frontdrive.
Rear-drive units enable a true
elliptical movement of the pedals and
include an adjustable incline ramp at the
front of the machine. A front-drive elliptical
machine, on the other hand, needs to use
articulating pedals in order to match a
natural stride and lacks the adjustable
ramp of a rear-drive unit. Most users tend
to prefer rear-drive elliptical machines. The
primary advantage of a front-drive unit is
the cost.
",Find information about elliptical trainer machines.,elliptical trainer,,,
ObjectId(59f97bcde007d239e50a4f86),86H17J,"
CheatCodes.com has more content than anyone else to help you win all PlayStation 2 (PS2) games!
With thousands of cheats, hints and guides for PS2 games, we cover a wide range of racing, first person shooter, sporting games, and everything else -- to ensure you can play your games your way.
Even though games are no longer actively produced for the PlayStation 2, CheatCodes.com still posts new tips and hints for all PlayStation games... including those that cross over from PS2 to the PlayStation 3, or maybe that you used to play on your old original PlayStation system. We're always looking for ways to improve your gaming experience, whether on the latest, or older older gaming systems such as the PS2. To experience all the hidden parts of your games, be sure to visit our PS2 cheats often.
Choose the starting letter for the PS2 game you're looking for.
","Find information, reviews, and cheat codes for
  Playstation 2 games.",ps 2 games,,,
ObjectId(59f97bcde007d239e50a4f87),CZ70FS,"Want to play poker? It doesn't happen only at a casino in Las Vegas. You can also win in another type of tournament, tournaments in the virtual universe. You can be all-in without fearing. You get virtual chips but your profit is real money, it can even be five large straight into your bank account. The tournament consists of several internal competitions between the players. On each round there is a buy-in, not exclusively at the grand opening of the tournament. Eventually it pays off because you can fold at any point without getting a fee. Put on your poker face and don't reveal your hand. It depends on how you play the cards you were dealt! You can reach the top and enjoy the unique feeling of a virtual poker tournament.
","I want to find information about live and online poker
  tournaments.",poker tournaments,,,
ObjectId(59f97bcde007d239e50a4f88),CZ70FS,"SAT means Scholastic Assessment Test. What does it assess? Your aptitude and your skills. Every person that takes the SAT aspires to get a high score. The SAT is a measurement to evaluate the success of a person in dealing with the academy and with life afterwards.
Universities and colleges all over the world believe that this is a reasoning test and therefore base the admission of students to their establishments on it. Education is an integral part of life in our society nowadays, that's why being excellent on the SAT is important. These exams provide a path to opportunities, financial support, and scholarships, in a way that's fair to all students. 
Most students take the SAT for the first time during the spring of their junior year and a second time during the fall of their senior year, in order to improve, arrive better prepared and obtain the best result.","
    Find information on taking the SAT college entrance exam.",sat,,,
ObjectId(59f97bcde007d239e50a4f89),CZ70FS,"Looking for Internet service on the cheap? There are many factors to consider when it comes to Internet services: speed, a modem and a router that are modified to have an easier access at home. On top of all those factors, there's a significant one - the cost. We would like to get a low-priced service. A website such as Allconnect can help us find a provider that answers those qualifications as best as possible. Nowadays, finding an Internet service that is fast, available and practically free is very rare. Internet service is common and required at all times which turned it to a necessity that needs to be paid for. We hope to minimize that cost in our life.  
",I'm looking for cheap (i.e. low-cost) internet service.,cheap internet,,,
ObjectId(59f97bcde007d239e50a4f8a),TBWIAI,"Recently, I received various inquires as to how best to plan the perfect wedding, within a reasonable and affordable price range.

So Initially, I discussed with them the type of wedding they were interested in planning, if it would be a religious or civil wedding, formal or informal and so on. The most important factors to consider when calculating the cost of a wedding is the location, and the number of guests they want to invite. Following this, the details of the wedding ceremony may be discussed such as, the brides dress, and the suite for the groom, the kinds of foods to be served in the buffet, and the kind of music to be played. Additionally, if the photographer will make magnets that can be taken home.

Thus, whatever the cost of your wedding, the above-mentioned questions should be addressed, in the planning and budgeting of your next wedding!

","I'm looking for information on planning and budgeting
  for a wedding.",wedding budget calculator,,,
ObjectId(59f97bcde007d239e50a4f8b),TBWIAI,"Nowadays, every organization endeavors to present their data as one of their services. The best way to reflect these services is by creating a website.The website needs to be hosted and designed on a platform that will be accessible for end users through PC and mobiles. The hosting platform should be able to support many applications, for example, in one of my projects I chose Heroku as a hosting platform for my website. Heroku is a cloud-based platform on a managed container system, with integrated data services for deploying and running modern apps.I designed my website with a framework within Python called Django. The Heroku website platform helped me to host and add an extra rollback feature in order to deploy my website.

I can now access my website from every PC, and design it without fear of getting bugs, and can share my knowledge with my classmates.



","I'm looking for information on designing a business
  website and finding hosting for it.",website design hosting,,,
ObjectId(59f97bcde007d239e50a4f8c),TBWIAI,"Verizon Wireless is the biggest wireless carrier in United States, operating a robust and far-reaching 4G LTE network and a strong lineup of smartphones, feature phones, and basic handsets. A joint venture between Verizon Communications and Vodafone, and Verizon Wireless was formed in 2000 through a merger between GTE Wireless and Bell Atlantic.
Things you should know about Verizon Wireless:
Verizon has a ""Share Everything"" plan that includes unlimited text and voice calls for multiple devices, plus a monthly allotment of data use, (single line plans are also available). The monthly price increases based on the number and type of devices you add to the plan, and the amount of data that you choose to use.
As a CDMA carrier, Verizon's international coverage is limited to a handful of countries, but it offers dual-mode CDMA/GSM handsets.
Verizon offers prepaid plans. Verizon has also announced Edge, as its early upgrade program.
","Find information about cell phones and cellular
  service providers.",cell phones,,,
ObjectId(59f97bcde007d239e50a4f8d),XRN1VX,"
BlueHost built its Web hosting management interface around the cPanel control panel, a truly ugly and utilitarian system that is nonetheless the industry standard today. cPanel is designed for pros who know what they’re doing, and BlueHost offers little hand-holding if you need help getting started (although the company promises average tech support hold times of less than 30 seconds).
But what BlueHost lacks in friendliness it makes up for in exhaustiveness: With over 75 installation scripts at hand, you can point and click your way to building just about any kind of website--blog, wiki, e-commerce--without a lot of fuss. The service plan is unremarkable yet comprehensive and--the big draw for most BlueHost customers (including this writer)--cheap. Pro packages can reach $20 a month, but most customers squeak by on the less-than-$4-per-month basic plan.
","I'm looking for information on designing a business
  website and finding hosting for it.",website design hosting,,,
