_id,username,posted_document,query,check_one_gold,check_one_gold_reason,_golden
ObjectId(59f97bcde007d239e50a4f8a),TBWIAI,"Recently, I received various inquires as to how best to plan the perfect wedding, within a reasonable and affordable price range.

So Initially, I discussed with them the type of wedding they were interested in planning, if it would be a religious or civil wedding, formal or informal and so on. The most important factors to consider when calculating the cost of a wedding is the location, and the number of guests they want to invite. Following this, the details of the wedding ceremony may be discussed such as, the brides dress, and the suite for the groom, the kinds of foods to be served in the buffet, and the kind of music to be played. Additionally, if the photographer will make magnets that can be taken home.

Thus, whatever the cost of your wedding, the above-mentioned questions should be addressed, in the planning and budgeting of your next wedding!

",wedding budget calculator,,,
ObjectId(59f97bcde007d239e50a4f90),3EQ02Q,"The coral island of Barbados is located at the Caribbean Sea in North America. Even though There's only one airport in Barbados- Grantley Adams International Airport, the island is a highly recommended tourism destination. Bridgetown is the capital of Barbados and The main attractions are Hunte's Garden, Carlisle Bay, Batsheba Beach, Harrison's Cave, Arlington House Museum and more. A general information about Barbados: The currency in the island is Barbadian Dollar, the official language is English and Bajan Creole and the majority of the people are Christians. Lately, on September 2017 the hurricane Irma struck Barbados and other islands in the Caribbean Sea and caused a severe damage. Barbados is seen by most scientists as geologically unique as the island was formed as a result of volcanic amalgamation. If you are looking for vacation in Barbados you can find some luxury resorts in a fair price.",barbados,,,
ObjectId(59f97bcde007d239e50a4f91),3EQ02Q,"The Sony's PlayStation 2 (PS2) was published at 2000 as a TV games console and since then, even after the arrival of PS3 and PS4, PS2 remained one of the most popular games consoles in history of video games. Today, you can download some old PS2 games to your own computer, find cheats to approximately every single game and have a forums to discuss your favorites games with some other players around the world. Since Sony's PS2 is so popular, many gamers have discussions about the ranking of the best video games that ever made in this console. In every ranking list that had made by addicted gamers carrying titles such as ""Top PS2 games ever"" you can find some very famous games like GTA (Grand Theft Auto) series games, God of War, The annually  FIFA and NBA and so on.",ps 2 games,,,
ObjectId(59f97bcde007d239e50a4f92),3EQ02Q,"Dieting doesn't always means loosing weight on the long term. sometimes when people try to loose weight with some instant diet method they actually get unwanted results. According to many researches loosing a lot of weight in a short period eventually lead to gaining more weight then before. The field of dieting is flourishing in the last decades duo to the increasing awareness of the importance of buddy health and the connection between it and nutrition. Few famous examples for dieting types are low-fat, low-carbohydrate, low calorie and more. Many articles on the web pretend to advice people and suggest ways to lose weight easily in a short time. You better not believe any buzz title you see such as""12 rules of dieting"" and instead, consult an expert dietitian.
",dieting,,,
ObjectId(59f97bcde007d239e50a4f93),41S8KU,"You might think that it is impossible to find an inexpensive hotel room in NYC. However, believe it or not, one can find great budget accommodation, in a comfortable, clean room, in a prime location in New York.
Here is out best ideas of where to find cheap hotel rooms in the NYC:
1. Check the hotel websites for promotions and coupons
2. One may find great hotel room bargains around Manhattan and Queens through trip advisor.
3. Take advantage of trip advisor 
4. Opt for couch surfing
5. Opt for a hostel rather than a hotel room
6. Ask for a discount
7. Turn to local guidebooks
8. Stay in a bed and breakfast hotel.
",newyork hotels,,,
ObjectId(59f97bcde007d239e50a4f94),41S8KU,"The hoof is a complex grouping of sensitive and insensitive structures, all of which must be kept healthy and undamaged if the horse is to stay sound. 
As a horse owner, one major responsibility is making sure that each horse's hooves and lower limbs are frequently checked for injury, damage, disease or any condition that might affect the soundness of the horse.
Knowledge of the anatomy of the horse's foot including the hoof and all its internal structures is of paramount importance in being able to assess the condition of the horse's lower limbs and feet.
Damage and injury are usually evidenced by lameness, wounds, lacerations or abrasions, cracks in hoof wall, tenderness to the touch, or other visual clues.
On the other hand, some hoof diseases and conditions such as navicular disease, puncture wounds may develop undiscovered for a period of time.",horse hooves,,,
ObjectId(59f97bcde007d239e50a4f95),41S8KU,"The Harvard business school  now offers a unique GMAT (Graduate Management Admission Test) preparation course to best help you get admitted into the best MBA programs and business school programs worldwide. 
The GMAT prep class may be taken as a self-paced, online or workshop (instructor led) format. All include free prep resources, real practice exams simulated at a Pearson VUE testing center, and questions similar to Kaplan's. It also offers comprehensive math and english reviews as well as GMAT exam strategy review.
This course is based on the excellent results of students undertaking the Technion's GRE PREP exam.
",gmat prep classes,,,
ObjectId(59f97bcde007d239e50a4f9d),QUGXT8,"Here are huge strategies and awsome tips for calculationg wedding budget:
1. Cut off your guest list: Invite 100 guests instead of 150. Do the math - If your wedding comes to $100 per person for food and drink, cutting your list from 150 to 100 saves $5,000 off your wedding budget.
2. The less formal the affair, the more affordable. Instead of a sit-down dinner, go for a casual brunch or barbecue. 
3.As far as wedding Invitations: Keep them simple. Remember, top-quality paper, fancy typography techniques and custom-colored inks increase the price, but not necessarily worth the extra money. Use response postcards or make save-the-date cards yourself. To keep postage costs down, stay away from oversize or overweight styles.
 Here is a basic breakdown of the calculation: Reception: 48-50%, Ceremony: 2-3%, Attire: 8-10%, Flowers: 8-10%, Photography/Videography: 10-12%, Miscellaneous: 8%, Transportation: 2-3%.",wedding budget calculator,,,
ObjectId(59f97bcde007d239e50a4f9e),QUGXT8,"Computer programming is a process that leads from an original formulation of a computing problem to executable computer programs. 
Programming involves activities such as analysis, developing, generating algorithms, verification of requirements of algorithms, and implementation of algorithms.
The purpose of programming is to find a sequence of instructions that will automate performing a specific task or solving a given problem.
Different programming languages support different styles of programming. The choice of language used is subject to many considerations, such as company policy,
suitability to task, availability of third-party packages, or individual preference. Ideally, the programming language best suited for the task at hand will be selected.
Languages form an approximate spectrum from ""low-level"" to ""high-level""; ""low-level"" languages are more machine-oriented and faster to execute, whereas ""high-level"" languages are more abstract and easier to use but execute less quickly.
C, C++, Java, Ruby, Python and more are examples for computer programming languages.",computer programming,,,
ObjectId(59f97bcde007d239e50a4fa0),V0C3W0,"The Scholastic Aptitude Test and SAT Subject Tests are designed to assess your academic readiness for college. These SAT exams provide a path to opportunities, financial support, and scholarships, in a fair way for all students. 
The SAT is a globally recognized college admission test. The SAT exam measures the skills required for success,  you can learn what it tests and how you can best prepare for this exam. SAT Subject Tests can complement  your college admission credentials. The SAT and other College Board tests are offered several times a year. SAT is a great opportunity for all and SAT should be more popular. Most students take the SAT for the first time during their junior year and a second time during their senior year.


",sat,,,
