_id,username,current_document,query,check_one_gold,check_one_gold_reason,_golden
ObjectId(5a2a5e23e007d23be0ebdcb9),TBWIAI,"As a cigarette consumer, I am trying to quit smoking cigarettes for a while and start living a smoking-free life. But wherever I go I see advertisement that published by the cigarettes brands, such as: camel, L&M, Malboro etc, which trying to convince people to start smoking instead of quit and stop with this habit.
Couple of my main reasons to quit smoking is to live a healthier, smoke-free life and to save the money that is spent on cigarettes. Furthermore, the fact that I am smoking is effecting my family who suffers from the bad smell.
Couple of methods I encountered that might help:
1. Stop smoking cigarettes immediately.
2. Stop smoking cigarettes bit by bit.
3. therapies, e-cigarettes and nicotine replacement.
I hope to tell you couple of months from now that I succeeded in my journey to quit smoking and be clean from nicotine and tobacco.
",quit smoking,,,
ObjectId(5a2a5e23e007d23be0ebdcbb),TBWIAI,"We want to decorate our small house with furniture and it must be cool and decorative. This is our wish but in reality most of us don't have enough space. An average apartment is equipped with small bed, nice bookcase, couple of wooden chairs, comfy couch next to the television and a corner table. Some companies offers a complete set of furniture which studio apartments, micro homes and other compact living spaces. for example, IKEA offers furniture set which will be compatible for 40 m^2. Those companies trying to target young population who lives in smaller apartments and design the furniture to fit the need and ideas about house design. Furthermore, a lot of independent designers will like to offer a plan how to furbish your space with unique furniture. So next time when you thinking on improving your goods, don't hesitate a because size not always matter.",furniture small spaces,,,
ObjectId(5a2a5e23e007d23be0ebdcbc),XRN1VX,"The Bowflex Power Pro Gym was one of the original Bowflex gyms to hit the market back in the 1990's and sold quite well with a number of optional packages and variations of the machine over time.
The first Power Pro that Bowflex offered was a stripped down model with no lat tower attachment and no leg deleoper either.The Bowflex Power Pro simply dominated the other fitness machines for sale (most notabley the Soloflex).
Flash forward a few years and Bowflex has completely eliminated the Power Pro from theri offerings and has released a number of different variations to the Power Pro including the Revolution, Extreme 2, and Ultimate 2 gyms.
They've even targeted the lower end market with Bowflex models that sell through traditional retail outlets at lower price points (these models are more similar to the original Power Pro than Bowflex's new offerings).

 ",bowflex power pro,,,
ObjectId(5a2a5e23e007d23be0ebdcbd),XRN1VX,"The island of Barbados located  in the western area of the North Atlantic Ocean and 100 kilometers east of Windward Island and the Caribbean Sea. The Barbados island is as geologically unique as it was formed as a result of an amalgamation.  The first inhabitants of Barbados were Arawaks and the Caribs,however when Barbados English Captain, John Powell arrived at Barbados in 1625, he claimed the Island of Barbados for King James I of England. Powel returned shortly after that to England and returned to Barbados in 1627 at the site which is known as Holetown.
As a wealthy sugar colony, it became an English centre of the African slave trade until that trade was outlawed in 1807, with final emancipation of slaves in Barbados occurring over a period of years from 1833.
n 1966, Barbados became an independent state and Commonwealth realm with the British monarch as hereditary head of state",barbados,,,
ObjectId(5a2a5e23e007d23be0ebdcbf),3EQ02Q,"GPS which stands for Global Positioning system is a satellite based navigation. GPS receivers are used for data collection and integration in GIS (Geographic Information System) and also in many fields such astronomy. The technology behind GPS based on the waves theory so the device, which is located on satellite broadcasts microwaves signals to the receivers on earth and then, by considering the range of the waves the location of the satellite can be derived. GPS quality is measured by it precision and accuracy. we conducted a competition in order to compare few GPS receivers of 5 systems- Trimble ProxXR, two versions of Trimble GeoXT, Trimble GeoExploror and HP/Pharos receiver. We wanted to check which system is the must accurate and the GeoXT won it with impressive performance- sub meter accuracy.",gps,,,
ObjectId(5a2a5e23e007d23be0ebdcc0),3EQ02Q,"We are offering the best hotels in Manhattan, New York. our hotels are close to the most famous sport arena in the world-the Madison Square Garden (The home court of NY knocks, NY Rangers and more). Our hotels prices are cheapest comparing to their value and all of them come with great service. We can also offer you to hire our hotels guides which can recommend you about the attractions of the NY- special places in the Central Park, The greatest bars and restaurants and even the helping you with the transportation in Big Apple-NY. After a long flight you don't want to spend your time on looking for an hotels. Create a contact in advance and you'll get our special guest discount. ",newyork hotels,,,
ObjectId(5a2a5e23e007d23be0ebdcc1),3EQ02Q,Want to quit smoking and throw all the cigarettes? Don't know how to get rid of the smoke smell? Worried about cancer? It sounds like you need help. Quitting smoking is hard step to make but if you really want to it you can use the next tip. Try to make a list of the pros and cons of being a smoker. According to a research that was made in the Clinical Psychiatric Research Center at George Washington University making such a list can be efficient as it clarify the price you pay of being a smoker. It's never late to make an extreme change and drop the cigarettes. The awareness to all the things cigarettes and smoking make you loose can do really push you to end this circle. Be brave and tell your friends about the new goal and get feedback from them.,quit smoking,,,
ObjectId(5a2a5e23e007d23be0ebdcc2),41S8KU,"An elliptical trainer or cross-trainer is a stationary exercise machine used to simulate non-impact cardiovascular workout such as stair climbing, walking, or running without causing excessive pressure to the joints, hence decreasing the risk of impact injuries. Elliptical trainers workouts can vary from light to high intensity based on the speed of the exercise and the resistance preference set by the user.
For that reason, people are increasingly looking to elliptical workouts as a safe way to get fantastic cardio exercise, to help lose excess weight, and to tone up the entire body overall
Elliptical trainers are an example of a weight-bearing form of exercise. They can be self-powered by user-generated motion or need to be plugged in for adjustment of motion and/or for supplying their electronic consoles and resistance systems.
Elliptical machines range in price from around $100 to $1000. ",elliptical trainer,,,
ObjectId(5a2a5e23e007d23be0ebdcc3),41S8KU,"No matter what your budget, high-end wedding can be yours without sacrificing a single iota of style.  When deciding on a wedding event there are many decisions the couple should make such as number of guests,  ceremony and reception type and location. Each can drastically change the budget you will need. To better plan your wedding budget it will be wise using a wedding budget calculator.
The wedding budget calculator provides average spending by other couples in your area along with estimates based on your selected options. You can easily see how one element changes the budget you will need. ",wedding budget calculator,,,
ObjectId(5a2a5e23e007d23be0ebdcc4),41S8KU,"If you drive a contemporary car, finding a used auto part is as easy. If you drive a classic car, however, finding used parts becomes a challenge. Classic car owners often find that the parts they need are prohibitively expensive, or simply not available.  Here are few of the best places to look for used car parts:
1 If your classic car was made by Chevrolet, you may be able to find bargain used car parts right from the Chevrolet website. 
2 The Used Car Parts Database is one of the most wide-ranging sites for finding used car parts for antique, vintage and classic cars. It serves as a directly of vendors, services and parts, all aimed at the classic car enthusiast.
3 Online One-Stop Auto Parts and Accessories retailers have high-performance new and used car parts whether you need new brake pads, headlights, or shock absorbers for your family car!",car parts,,,
