_id,username,posted_document,query,check_one_gold,check_one_gold_reason,_golden
ObjectId(59f97bcde007d239e50a4f84),86H17J,"
Preparing for the GMAT exam takes time and effort, but with a sound study plan, you can get the score you want.
Being a little nervous about taking the GMAT exam is normal. Smart test takers approach the test with a solid plan and execute on that plan. They get the most out of practice tests and resources, understand how they learn, and stay positive throughout the process. Just remind yourself that you have what it takes! Like any important goal, preparation and hard work pay off. 
The following steps will help you plan a course toward your best GMAT. 
Determine When You Plan to Attend a Graduate Business Program. 
Register for the GMAT Exam and Develop a Study Plan.
Establish Your Skills Baseline by Taking a Practice Exam.
Start Studying.
Assess Your Progress and Continue Studying.
Plan for Your Test Day.
",gmat prep classes,,,
ObjectId(59f97bcde007d239e50a4f85),86H17J,"
The elliptical trainer combines the motion
of stair-stepping with cross-country skiing,
providing a low-impact aerobic workout.
Many elliptical trainers use alternating
push/pull resistance bars to add an upperbody
workout as you stride. The pedals
can also be reversed (backward stride),
which not only works the muscles in a
slightly different manner but allows some
variation in your workout.
There are two main types of elliptical
machines available: rear-drive and frontdrive.
Rear-drive units enable a true
elliptical movement of the pedals and
include an adjustable incline ramp at the
front of the machine. A front-drive elliptical
machine, on the other hand, needs to use
articulating pedals in order to match a
natural stride and lacks the adjustable
ramp of a rear-drive unit. Most users tend
to prefer rear-drive elliptical machines. The
primary advantage of a front-drive unit is
the cost.
",elliptical trainer,,,
ObjectId(59f97bcde007d239e50a4f86),86H17J,"
CheatCodes.com has more content than anyone else to help you win all PlayStation 2 (PS2) games!
With thousands of cheats, hints and guides for PS2 games, we cover a wide range of racing, first person shooter, sporting games, and everything else -- to ensure you can play your games your way.
Even though games are no longer actively produced for the PlayStation 2, CheatCodes.com still posts new tips and hints for all PlayStation games... including those that cross over from PS2 to the PlayStation 3, or maybe that you used to play on your old original PlayStation system. We're always looking for ways to improve your gaming experience, whether on the latest, or older older gaming systems such as the PS2. To experience all the hidden parts of your games, be sure to visit our PS2 cheats often.
Choose the starting letter for the PS2 game you're looking for.
",ps 2 games,,,
ObjectId(59f97bcde007d239e50a4f87),CZ70FS,"Want to play poker? It doesn't happen only at a casino in Las Vegas. You can also win in another type of tournament, tournaments in the virtual universe. You can be all-in without fearing. You get virtual chips but your profit is real money, it can even be five large straight into your bank account. The tournament consists of several internal competitions between the players. On each round there is a buy-in, not exclusively at the grand opening of the tournament. Eventually it pays off because you can fold at any point without getting a fee. Put on your poker face and don't reveal your hand. It depends on how you play the cards you were dealt! You can reach the top and enjoy the unique feeling of a virtual poker tournament.
",poker tournaments,,,
ObjectId(59f97bcde007d239e50a4f88),CZ70FS,"SAT means Scholastic Assessment Test. What does it assess? Your aptitude and your skills. Every person that takes the SAT aspires to get a high score. The SAT is a measurement to evaluate the success of a person in dealing with the academy and with life afterwards.
Universities and colleges all over the world believe that this is a reasoning test and therefore base the admission of students to their establishments on it. Education is an integral part of life in our society nowadays, that's why being excellent on the SAT is important. These exams provide a path to opportunities, financial support, and scholarships, in a way that's fair to all students. 
Most students take the SAT for the first time during the spring of their junior year and a second time during the fall of their senior year, in order to improve, arrive better prepared and obtain the best result.",sat,,,
ObjectId(59f97bcde007d239e50a4f89),CZ70FS,"Looking for Internet service on the cheap? There are many factors to consider when it comes to Internet services: speed, a modem and a router that are modified to have an easier access at home. On top of all those factors, there's a significant one - the cost. We would like to get a low-priced service. A website such as Allconnect can help us find a provider that answers those qualifications as best as possible. Nowadays, finding an Internet service that is fast, available and practically free is very rare. Internet service is common and required at all times which turned it to a necessity that needs to be paid for. We hope to minimize that cost in our life.  
",cheap internet,,,
ObjectId(59f97bcde007d239e50a4f8a),TBWIAI,"
No matter what your budget, a chic, high-end wedding can be yours without sacrificing a single iota of style.
Guest List: Invite 100 guests instead of 150 (save on everything). Do the math: If your wedding comes to $100 per person for food and drink, cutting your list from 150 to 100 saves $5,000.
Wedding Style: The less formal the affair, the more affordable. Instead of a sit-down dinner, go for a casual brunch or barbecue. Get rental cars in lieu of limos.
Wedding Invitations: Keep the wedding invitations simple. Remember, top-quality paper, fancy typography techniques and custom-colored inks increase the price, as do decorative envelope linings and multiple enclosures. Choose one fabulous element and keep all the rest simple. Use response postcards or make save-the-date cards yourself. To keep postage costs down, stay away from oversize or overweight styles.
",wedding budget calculator,,,
ObjectId(59f97bcde007d239e50a4f8b),TBWIAI,"
BlueHost built its Web hosting management interface around the cPanel control panel, a truly ugly and utilitarian system that is nonetheless the industry standard today. cPanel is designed for pros who know what they’re doing, and BlueHost offers little hand-holding if you need help getting started (although the company promises average tech support hold times of less than 30 seconds).
But what BlueHost lacks in friendliness it makes up for in exhaustiveness: With over 75 installation scripts at hand, you can point and click your way to building just about any kind of website--blog, wiki, e-commerce--without a lot of fuss. The service plan is unremarkable yet comprehensive and--the big draw for most BlueHost customers (including this writer)--cheap. Pro packages can reach $20 a month, but most customers squeak by on the less-than-$4-per-month basic plan.
",website design hosting,,,
ObjectId(59f97bcde007d239e50a4f8c),TBWIAI,"
The biggest wireless carrier in United States, Verizon Wireless operates a robust and far-reaching 4G LTE network and a strong lineup of smartphones, feature phones, and basic handsets. A joint venture between Verizon Communications and Vodafone, Verizon Wireless was formed in 2000 through a merger between GTE Wireless and Bell Atlantic.
Things you should know about Verizon Wireless:
Verizon has a ""Share Everything"" plan that includes unlimited and text and voice calls for multiple devices plus a monthly allotment of data use (single lines plans are available, as well). The monthly price increases based on the number and type of devices you add to the plan and the amount of data that you elect to use.
As a CDMA carrier, Verizon's international coverage is limited to a handful of countries, but it offers dual-mode CDMA/GSM handsets.
Verizon offers prepaid plans.
Verizon announced Edge, its early upgrade program. 
",cell phones,,,
ObjectId(59f97bcde007d239e50a4f8d),XRN1VX,"
BlueHost built its Web hosting management interface around the cPanel control panel, a truly ugly and utilitarian system that is nonetheless the industry standard today. cPanel is designed for pros who know what they’re doing, and BlueHost offers little hand-holding if you need help getting started (although the company promises average tech support hold times of less than 30 seconds).
But what BlueHost lacks in friendliness it makes up for in exhaustiveness: With over 75 installation scripts at hand, you can point and click your way to building just about any kind of website--blog, wiki, e-commerce--without a lot of fuss. The service plan is unremarkable yet comprehensive and--the big draw for most BlueHost customers (including this writer)--cheap. Pro packages can reach $20 a month, but most customers squeak by on the less-than-$4-per-month basic plan.
",website design hosting,,,
