_id,username,posted_document,query,check_one_gold,check_one_gold_reason,_golden
ObjectId(5a2a5e23e007d23be0ebdcb3),86H17J,"
The elliptical trainer combines the motion
of stair-stepping with cross-country skiing,
providing a low-impact aerobic workout.
Many elliptical trainers use alternating
push/pull resistance bars to add an upperbody
workout as you stride. The pedals
can also be reversed (backward stride),
which not only works the muscles in a
slightly different manner but allows some
variation in your workout.
There are two main types of elliptical
machines available: rear-drive and frontdrive.
Rear-drive units enable a true
elliptical movement of the pedals and
include an adjustable incline ramp at the
front of the machine. A front-drive elliptical
machine, on the other hand, needs to use
articulating pedals in order to match a
natural stride and lacks the adjustable
ramp of a rear-drive unit. Most users tend
to prefer rear-drive elliptical machines. The
primary advantage of a front-drive unit is
the cost.
",elliptical trainer,,,
ObjectId(5a2a5e23e007d23be0ebdcb4),86H17J,"
 Get your game on at French Lick Casino, a 51,000-square-foot Vegas-style gaming facility all on one floor with soaring 27-foot ceilings. On our gaming floor, you can play to win a brand new car on slot machines or a progressive jackpot at our table games. You’ll find live-action blackjack, roulette and craps and other table games, a luxurious high-limit room and Indiana’s largest non-smoking room. Bring a group of friends and enjoy live entertainment, DJs and Promotions in our spacious entertainment lounge. Here’s a little of what you’ll find at the French Lick Casino: 1,000 new and classic Slots, video poker, progressive jackpots and video keno of all denominations and themes. 37 table games featuring Blackjack, Craps, Roulette, Ultimate Texas Hold'em, 3-Card Poker, Mini-Baccarat and more. A 9,500 square foot unparalleled non-smoking gaming room with live table games and 250 of the latest slots.

",french lick resort casino,,,
ObjectId(5a2a5e23e007d23be0ebdcb5),86H17J,"
Wilson has long been a trusted name in CB antennas. They have several types of antennas to offer, including the most popular magnet mount antennas on the market.
When it comes to magnet mount antennas, we typically recommend these. Wilson magnetic mount antennas include a strong magnet with a protective coating to protect your vehicle's finish, a high quality coax, and a base loaded coil with a steel whip that creates less drag and keeps the antenna upright. The Little Wil magnet mount CB antenna is one of our most popular antennas. If you need something a little taller we also have the Wilson 1000 and 5000 antennas.  
Wilson fiberglass CB antennas are popular as well. They are similar to Firestik antennas and include a tuneable tip. They also have a unique grounding wire for situations were a high SWR cannot be remedied.
",wilson antenna,,,
ObjectId(5a2a5e23e007d23be0ebdcb6),CZ70FS,"We know what you look for in a training session. You want to stay in shape without moving to far during a workout but still feel like you climbed a mountain or went down a slope. Your answer is an elliptical trainer - whether it is rear-drive or it is frontdrive. An elliptical trainer machine is composed of pedals, a ramp and an option to add different amounts of weights according to the difficulty level you want to reach. Elliptical trainer is an upgraded treadmill, by stepping on it you burn calories, build your muscles strength and more. Working out on an elliptical trainer is a very effective way to feel your body in motion with every stride you take.",elliptical trainer,,,
ObjectId(5a2a5e23e007d23be0ebdcb7),CZ70FS,"What is the best internet phone service? We recommend Ooma. Internet has the power to surpass language and distance barriers, for example - Skype call. Nowadays, we live in a digital world, we use our smartphones to do day to day errands, fill forms and pay bills online. We also use our phones to watch media contents, listen to music and contact our family and friends wherever they are, all via internet. That is why everyone has to have an accessible internet phone service. An internet service should provide unlimited calling nationwide, a cheaper rate for international conversations, forward calls worldwide and free mobile VoIP - voice over internet protocol application. Ooma is an ITP that answers all the requirements we mentioned.",internet phone service,,,
ObjectId(5a2a5e23e007d23be0ebdcb8),CZ70FS,"You are on a tight budget so you chose to live in a small and cozy apartment, condo or loft. That fact doesn't mean you can't decorate your home beautifully. You can buy space saving furniture in IKEA and make your living room look like it is right out of a designer's catalogue. There are also transforming furniture solutions so they would fit in a square footage and still have a personal style. You can even have a feng shui touch by taking the time organizing your furniture.  
",furniture small spaces,,,
ObjectId(5a2a5e23e007d23be0ebdcb9),TBWIAI,"As a cigarette consumer, I am trying to quit smoking for a long time. But wherever I go I see advertisement that published by the cigarettes brands, such as: camel, L&M, Malboro etc, which trying to convince people to start smoking instead of quit and stop with this habit.
Couple of my main reasons to quit smoking is to live a healthier, smoke-free life and to save the money that is spent on cigarettes. Furthermore, the fact that I am smoking is effecting my family who suffers from the bad smell.
At the moment I am consulting my family and friends with the issue of quit smoking, while I was encountered in two main ways to stop smoking:
1. Stop smoking cigarettes immediately.
2. Stop smoking cigarettes bit by bit.
I hope to tell you couple of months from now that I succeeded in my journey to quit smoking.
",quit smoking,,,
ObjectId(5a2a5e23e007d23be0ebdcba),TBWIAI,"
 There are many different hoof problems that can occur in horses. To reduce hoof problems, follow these recommendations: Regular trimming or shoeing, Maintain good hoof balance, Maintain the correct hoof pastern angle, break over, and medial-lateral balance ,Give heel support if needed ,Use appropriate shoeing for different weather and footing conditions ,Use appropriate treatment if disease process occurs.
Poor shoeing or trimming. Long toes can results in strain on flexor tendons, the navicular bone, and collapsed heels. If the horse is ""too upright"" it can cause trauma to the coffin bone. An imbalanced hoof can cause stress on the collateral ligaments.
Hoof cracks. Horizontal cracks or blowouts are usually caused by an injury to the coronary band or a blow to the hoof wall. Horizontal cracks or blowouts do not usually case lameness. Grass cracks are usually seen in long, unshod horses, and can be corrected with trimming and shoeing.  
",horse hooves,,,
ObjectId(5a2a5e23e007d23be0ebdcbb),TBWIAI,"All of us have this dream to fill their house with cool and decorative furniture, but in reality most of us live in small apartments and don't have enough space. Although, some companies offers a complete set of furniture which fit your own small space. for example, ikea offers furniture set which will be compatible. Those companies trying to target young population who lives in smaller apartment and design the furniture to fit the need and ideas about house design. Furthermore, a lot of independent designers will like to offer a plan how to furbish your space with unique furniture. For general knowledge, even the prime minister ask for the famous designer Moshik Galamin in order to ask his opinion about the design and furniture of his house, even thought it is not small, a good advice is always needed when it comes to our house.",furniture small spaces,,,
ObjectId(5a2a5e23e007d23be0ebdcbc),XRN1VX,"
The Bowflex Power Pro Home Gym is a very popular piece of home workout equipment. Bowflex uses long bending rods instead of weights to add resistance to exercise and the Power Pro is a great example of this equipment
In the beginning of using the Bowflex Power Pro Home Gym it would be a good idea to concentrate on doing just a few compound exercises for three sets each and then after a few weeks start to mix it up. One of the things that happens with weight workouts is that your body becomes accustomed to exercises that you are doing and strength gains stop happening so you regularly need to change exercises to keep a certain amount of muscle confusion.
The goal of doing the compound exercises on the Bowflex Power Pro is that you will gain muscle mass and leading to faster muscle gain.
",bowflex power pro,,,
