_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,this_document_is,orig__golden,orig__id,check_one_gold,check_one_gold_reason,posted_document,query,this_document_is_gold,username
1551393183,1/18/2018 11:00:37,false,3278328461,,1/18/2018 10:59:53,false,clixsense,0.8571,31988217,GBR,U8,Edinburgh,86.184.145.128,valid,,ObjectId(5a2a5e23e007d23be0ebdcb9),,,"Want to quit smoking cigarettes and start living a smoking-free life? Nowadays there are various stop-smoking aids to help people quit smoking. These include many tips, such as: hypnosis tapes, exercise interventions, e-cigarettes, gum, nicotine replacement patches and books. The benefits of quitting smoking are tremendous,starting from improving the condition of blood pressure, pulse rate to forgetting about the chronic coughing. It is true that quitting smoking is a battle, and there are many temptations out there including advertisements of smoking brands, LM, Malboro. Successfully quitting smoking cigarettes, can vary depending on age, strength of addiction, psychological mindset, and how you deal with the physiological reactions to the reduction of your blood nicotine levels.You can get our guide for quit with tobbaco, nicotine and cigarettes with all the information you need to manage your quit-smoking journey with our easy step method anfd the right tools. ",quit smoking,,TBWIAI
1551393183,1/18/2018 11:16:47,false,3278386937,,1/18/2018 11:14:40,false,prodege,1.0,38198526,USA,WA,Issaquah,71.231.189.51,valid,,ObjectId(5a2a5e23e007d23be0ebdcb9),,,"Want to quit smoking cigarettes and start living a smoking-free life? Nowadays there are various stop-smoking aids to help people quit smoking. These include many tips, such as: hypnosis tapes, exercise interventions, e-cigarettes, gum, nicotine replacement patches and books. The benefits of quitting smoking are tremendous,starting from improving the condition of blood pressure, pulse rate to forgetting about the chronic coughing. It is true that quitting smoking is a battle, and there are many temptations out there including advertisements of smoking brands, LM, Malboro. Successfully quitting smoking cigarettes, can vary depending on age, strength of addiction, psychological mindset, and how you deal with the physiological reactions to the reduction of your blood nicotine levels.You can get our guide for quit with tobbaco, nicotine and cigarettes with all the information you need to manage your quit-smoking journey with our easy step method anfd the right tools. ",quit smoking,,TBWIAI
1551393183,1/18/2018 11:22:08,false,3278408866,,1/18/2018 11:21:13,false,elite,0.8571,44149231,USA,NY,New York,198.211.113.243,valid,,ObjectId(5a2a5e23e007d23be0ebdcb9),,,"Want to quit smoking cigarettes and start living a smoking-free life? Nowadays there are various stop-smoking aids to help people quit smoking. These include many tips, such as: hypnosis tapes, exercise interventions, e-cigarettes, gum, nicotine replacement patches and books. The benefits of quitting smoking are tremendous,starting from improving the condition of blood pressure, pulse rate to forgetting about the chronic coughing. It is true that quitting smoking is a battle, and there are many temptations out there including advertisements of smoking brands, LM, Malboro. Successfully quitting smoking cigarettes, can vary depending on age, strength of addiction, psychological mindset, and how you deal with the physiological reactions to the reduction of your blood nicotine levels.You can get our guide for quit with tobbaco, nicotine and cigarettes with all the information you need to manage your quit-smoking journey with our easy step method anfd the right tools. ",quit smoking,,TBWIAI
1551393183,1/18/2018 11:24:16,false,3278418400,,1/18/2018 11:16:33,false,clixsense,1.0,21875134,GBR,N1,Uttoxeter,31.185.189.193,valid,,ObjectId(5a2a5e23e007d23be0ebdcb9),,,"Want to quit smoking cigarettes and start living a smoking-free life? Nowadays there are various stop-smoking aids to help people quit smoking. These include many tips, such as: hypnosis tapes, exercise interventions, e-cigarettes, gum, nicotine replacement patches and books. The benefits of quitting smoking are tremendous,starting from improving the condition of blood pressure, pulse rate to forgetting about the chronic coughing. It is true that quitting smoking is a battle, and there are many temptations out there including advertisements of smoking brands, LM, Malboro. Successfully quitting smoking cigarettes, can vary depending on age, strength of addiction, psychological mindset, and how you deal with the physiological reactions to the reduction of your blood nicotine levels.You can get our guide for quit with tobbaco, nicotine and cigarettes with all the information you need to manage your quit-smoking journey with our easy step method anfd the right tools. ",quit smoking,,TBWIAI
1551393183,1/18/2018 11:34:17,false,3278452793,,1/18/2018 11:23:08,false,bitcoinget,1.0,44010628,USA,NY,New York,67.205.140.233,keywordstuffed,,ObjectId(5a2a5e23e007d23be0ebdcb9),,,"Want to quit smoking cigarettes and start living a smoking-free life? Nowadays there are various stop-smoking aids to help people quit smoking. These include many tips, such as: hypnosis tapes, exercise interventions, e-cigarettes, gum, nicotine replacement patches and books. The benefits of quitting smoking are tremendous,starting from improving the condition of blood pressure, pulse rate to forgetting about the chronic coughing. It is true that quitting smoking is a battle, and there are many temptations out there including advertisements of smoking brands, LM, Malboro. Successfully quitting smoking cigarettes, can vary depending on age, strength of addiction, psychological mindset, and how you deal with the physiological reactions to the reduction of your blood nicotine levels.You can get our guide for quit with tobbaco, nicotine and cigarettes with all the information you need to manage your quit-smoking journey with our easy step method anfd the right tools. ",quit smoking,,TBWIAI
1551393184,1/18/2018 10:15:20,false,3278169863,,1/18/2018 10:14:18,false,elite,1.0,43699610,USA,NY,Rochester,216.126.193.15,valid,,ObjectId(5a2a5e23e007d23be0ebdcbb),,,"How to make your small house to a comfortable home to live no matter it size? The answer is a multi-purpose furniture, perfect for compact living. Making the most of the space you live in with space- saving furniture that can be folded or transformed.Just think, your bed easily folds into a comfortable sofa with an underneath storage compartment. Your table and chairs neatly fold away in to a single coffee table.The benefits of space-saving furniture are endless, allowing you to enjoy the comforts of a modern stylishly decorated home, with reduced clutter, without sacrificing location.  ",furniture small spaces,,TBWIAI
1551393184,1/18/2018 10:17:51,false,3278178115,,1/18/2018 10:16:32,false,neodev,1.0,44255757,USA,FL,Bradenton,47.200.193.75,valid,,ObjectId(5a2a5e23e007d23be0ebdcbb),,,"How to make your small house to a comfortable home to live no matter it size? The answer is a multi-purpose furniture, perfect for compact living. Making the most of the space you live in with space- saving furniture that can be folded or transformed.Just think, your bed easily folds into a comfortable sofa with an underneath storage compartment. Your table and chairs neatly fold away in to a single coffee table.The benefits of space-saving furniture are endless, allowing you to enjoy the comforts of a modern stylishly decorated home, with reduced clutter, without sacrificing location.  ",furniture small spaces,,TBWIAI
1551393184,1/18/2018 10:20:15,false,3278185247,,1/18/2018 10:17:39,false,bitcoinget,0.8571,44010437,USA,NY,New York,67.205.140.233,valid,,ObjectId(5a2a5e23e007d23be0ebdcbb),,,"How to make your small house to a comfortable home to live no matter it size? The answer is a multi-purpose furniture, perfect for compact living. Making the most of the space you live in with space- saving furniture that can be folded or transformed.Just think, your bed easily folds into a comfortable sofa with an underneath storage compartment. Your table and chairs neatly fold away in to a single coffee table.The benefits of space-saving furniture are endless, allowing you to enjoy the comforts of a modern stylishly decorated home, with reduced clutter, without sacrificing location.  ",furniture small spaces,,TBWIAI
1551393184,1/18/2018 10:45:10,false,3278273022,,1/18/2018 10:43:05,false,elite,1.0,44212372,USA,NY,New York,198.211.113.243,valid,,ObjectId(5a2a5e23e007d23be0ebdcbb),,,"How to make your small house to a comfortable home to live no matter it size? The answer is a multi-purpose furniture, perfect for compact living. Making the most of the space you live in with space- saving furniture that can be folded or transformed.Just think, your bed easily folds into a comfortable sofa with an underneath storage compartment. Your table and chairs neatly fold away in to a single coffee table.The benefits of space-saving furniture are endless, allowing you to enjoy the comforts of a modern stylishly decorated home, with reduced clutter, without sacrificing location.  ",furniture small spaces,,TBWIAI
1551393184,1/18/2018 10:51:32,false,3278296021,,1/18/2018 10:43:47,false,bitcoinget,0.8571,44010583,USA,NY,New York,67.205.140.233,valid,,ObjectId(5a2a5e23e007d23be0ebdcbb),,,"How to make your small house to a comfortable home to live no matter it size? The answer is a multi-purpose furniture, perfect for compact living. Making the most of the space you live in with space- saving furniture that can be folded or transformed.Just think, your bed easily folds into a comfortable sofa with an underneath storage compartment. Your table and chairs neatly fold away in to a single coffee table.The benefits of space-saving furniture are endless, allowing you to enjoy the comforts of a modern stylishly decorated home, with reduced clutter, without sacrificing location.  ",furniture small spaces,,TBWIAI
