_id,username,posted_document,query,check_one_gold,check_one_gold_reason,_golden
ObjectId(59f97bcde007d239e50a4f87),CZ70FS,"Want to play poker? It doesn't happen only at a casino in Las Vegas. You can also win in another type of tournaments, tournaments in the virtual universe. You can be all-in without fearing. You get virtual chips but your profit is real money. The tournament consists of several internal competitions between the players. On each round there is a buy-in, not exclusively at the grand opening of the tournament. Eventually it pay off because you can fold at any point without getting a fee. It depends on how you play the cards you were dealt! You can reach the top and enjoy the unique feeling of a virtual poker tournament.
",poker tournaments,,,
ObjectId(59f97bcde007d239e50a4f90),3EQ02Q,"The coral island of Barbados is located at the Caribbean Sea.
Barbados is seen by most scientists as geologically unique as the island was formed as a result of volcanic activity many years ago.
Even though There's only one airport in Barbados- Grantley Adams International Airport, 
the island is a highly recommended tourism destination since it offers a fancy hotels, great beaches and experience of mixed cultures- all in one vacation. The main attractions in Barbados are Hunte's Garden, Carlisle Bay, Batsheba Beach, Harrison's Cave, Arlington House Museum and more. A general information about Barbados: The currency in the island is Barbadian Dollar, the official language is English and the vast majority of the people are Christians. Lately, on September 2017 the hurricane Irma struck Barbados and other islands in the Caribbean Sea and caused a severe damage.",barbados,,,
ObjectId(59f97bcde007d239e50a4f91),3EQ02Q,"The Sony's PlayStation 2 (PS2) was published at 2000 as a TV games console and since then, even after the arrival of PS3 and PS4, PS2 remained one of the most popular games consoles in history of video games. Since Sony's PS2 is so popular, many gamers worldwide are having the heated discussion about the identity of the best video games that ever made in this console. In every ranking list that had made by addicted gamers carrying titles such as ""Top PS2 games ever"" you can find some very famous games like GTA (Grand Theft Auto) series games, God of War and so on. Today, you can download some old PS2 games to your own computer, find cheats to approximately every single game and have a forums to discuss your favorites games with some other players around the world.
",ps 2 games,,,
ObjectId(59f97bcde007d239e50a4f92),3EQ02Q,"Dieting usually means eating according to an ordered and supervised menu in order to decrease weight, and sometimes in order to change the buddy structure (for example- gaining muscles).The field of dieting is flourishing in the last decades duo to the increasing awareness of the importance of buddy health and the connection between it and nutrition. Therefore, there is abundant information about diet so one would have some difficulties to find out what is the right way for him to create his own diet. Few famous examples for dieting types are low-fat, low-carbohydrate, low calorie and more. Many articles on the web pretend to advice people and suggest ways to lose weight easily in a short time. You better not believe any buzz title you see such as ""10 ways to lose weight without stop smiling"" or ""12 rules of dieting"" and instead, consult an expert dietitian.
",dieting,,,
ObjectId(59f97bcde007d239e50a4f93),41S8KU,"New York has accommodations to fit every need, whether you're planning to stay for a night or for the week.
When considering hotels in New York City, first choose your ideal borough, since each has its own character, advantages and charms. If you want to be in the middle of the action, look for a Times Square hotel location , such as Hilton Times Square, the Doubletree Hotel Metropolitan - New York City or Hampton Inn Manhattan-Times Square North.",newyork hotels,,,
ObjectId(59f97bcde007d239e50a4f94),41S8KU,"A horse hoof is a structure surrounding the distal phalanx of the 3rd digit of each of the four limbs of Equus species, which is covered by complex soft tissue and keratinised (cornified) structures. Since a single digit must bear the full proportion of the animal's weight that is borne by that limb, the hoof is of vital importance to the horse. The phrase ""no hoof, no horse"" underlines how much the health and the strength of the hoof is crucial for horse soundness. Sometimes referred to as house shoes.
",horse hooves,,,
ObjectId(59f97bcde007d239e50a4f95),41S8KU,"The Technion now offers a unique GMAT (Graduate Management Admission Test) preparation course to best help you prepare and get admitted into the best MBA programs and business school programs worldwide. 
The prep class may be taken as a self-paced, online or workshop (instructor led) format. All include free prep resources, real practice exams simulated at a Pearson VUE testing center, and questions similar to Kaplan's. It also offers comprehensive math and english reviews as well as GMAT exam strategy review.
This course is based on the excellent results of students undertaking the Technion's GRE PREP exam.
",gmat prep classes,,,
ObjectId(59f97bcde007d239e50a4f97),3AP15F,"Looking for Trombones? Trombone sale is available in many online stores such as ebay and Amazon.
There are many used trombones that are in excellent condition and extremely playable. If well cared for, a trombone can be used for many decades. Trombones, especially those which are not technically vintage, but simply have had a prior owner, can be much less expensive than new trombones and play just as well.

Trombones can be found in a variety of locations. Music instrument stores, of course, may carry some used instruments. Trombones can also be found at pawn shops or other sales stores and sometimes at estate or yard sales. You may also find used trombones through classified listings, such as those printed in a local newspaper or online on a classified advertisement website.",trombone sale,,,
ObjectId(59f97bcde007d239e50a4f99),DVCADA,"These days, when cellphones are almost a basic commodity, we are all customers of one out of several cellular service provider companies. The biggest provider in the United States, Verizon Wireless, operates a robust and far-reaching 4G LTE network and offers a strong lineup of smartphones, feature phones, and basic handsets. As a cellular company, they offer several wireless plans according to your needs, from fixed prepaid plans to plans with a monthly varying price that include unlimited text and voice calls for multiple phones. Verizon operates GSM based networks and offers the greatest network coverage in the United states, as well as international cellular coverage around the world. Besides Verizon, there are many other mobile network carriers that offer similar services in varying prices, the most significant are AT&T Mobility and T-Mobile US.
",cell phones,,,
ObjectId(59f97bcde007d239e50a4f9c),QUGXT8,"The island of Barbados in the Lesser Antilles. It is situated in the Caribbean region of North America - the western area of the North Atlantic Ocean and 100 kilometres east of the Windward Islands and the Caribbean Sea. The capital of Barbados is Bridgetown, 95% of the population is christian and official languages are English and Bajan Creole.
Close to 90% of all Barbadians are of Afro-Caribbean descent and mixed-descent. The remainder of the population includes groups of Europeans mainly from the United Kingdom and Ireland. 
 Barbados is considered by most scientists as geologically unique as it was formed as a result of an amalgamation of two land masses over a period of approximately 1,000 years. ",barbados,,,
ObjectId(59f97bcde007d239e50a4f9d),QUGXT8,"Planning a wedding on a budget is not an easy task, especially with no reliable or accurate calculator to estimate your wedding costs.
But with a few simple steps you could save some money and avoid exceeding your budget:
Cut off your guest list: Invite 100 guests instead of 150. Do the math: If your wedding comes to $100 per person for food and drink, cutting your list from 150 to 100 saves $5,000 off your wedding budget.
The less formal the affair, the more affordable. Instead of a sit-down dinner, go for a casual brunch or barbecue.
As far as wedding Invitations: Keep them simple. Remember, top-quality paper, fancy typography techniques and custom-colored inks increase the price, but not necessarily worth the extra money.
 Use response postcards or make save-the-date cards yourself. To keep postage costs down, stay away from oversize or overweight styles.",wedding budget calculator,,,
